Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
2017-11-25,0.0,0.0,0.0,0.0,0.0
2017-11-24,0.0,0.0,0.0,0.0,0.0
2017-11-23,1.0,3.0,-2.0,16.0,2.0
2017-11-22,1.0,4.0,-2.0,59.0,7.0
2017-11-21,2.0,4.0,-2.0,103.0,10.0
2017-11-20,1.0,3.0,-3.0,57.0,8.0
2017-11-19,1.0,4.0,-3.0,4.0,1.0
2017-11-18,0.0,0.0,0.0,0.0,0.0
2017-11-17,0.0,0.0,0.0,0.0,0.0
2017-11-16,1.0,4.0,-2.0,51.0,6.0
2017-11-15,-1.0,2.0,-4.0,95.0,10.0
2017-11-14,1.0,3.0,-3.0,70.0,10.0
2017-11-13,1.0,3.0,-3.0,52.0,10.0
2017-11-12,2.0,4.0,-2.0,20.0,6.0
2017-11-11,2.0,4.0,-1.0,29.0,6.0
2017-11-10,1.0,3.0,-2.0,37.0,5.0
2017-11-09,2.0,4.0,-2.0,69.0,10.0
2017-11-08,-1.0,3.0,-3.0,37.0,10.0
2017-11-07,-1.0,3.0,-3.0,33.0,10.0
2017-11-06,2.0,4.0,-2.0,31.0,10.0
2017-11-05,2.0,3.0,-1.0,14.0,10.0
2017-11-04,0.0,0.0,0.0,0.0,0.0
2017-11-03,2.0,4.0,-1.0,38.0,10.0
2017-11-02,1.0,3.0,-2.0,36.0,10.0
2017-11-01,2.0,4.0,-2.0,22.0,6.0
2017-10-31,1.0,4.0,-2.0,15.0,4.0
2017-10-30,1.0,2.0,-2.0,19.0,9.0
2017-10-29,-1.0,1.0,-3.0,8.0,10.0
2017-10-28,0.0,0.0,0.0,0.0,0.0
2017-10-27,1.0,3.0,-2.0,47.0,7.0
2017-10-26,1.0,3.0,-2.0,20.0,3.0
2017-10-25,-1.0,3.0,-3.0,39.0,6.0
2017-10-24,-1.0,3.0,-3.0,40.0,6.0
2017-10-23,-1.0,2.0,-3.0,53.0,10.0
2017-10-22,-2.0,1.0,-4.0,26.0,10.0
2017-10-21,-2.0,1.0,-4.0,40.0,10.0
2017-10-20,1.0,4.0,-2.0,76.0,10.0
2017-10-19,-1.0,2.0,-3.0,48.0,10.0
2017-10-18,2.0,4.0,-2.0,35.0,7.0
2017-10-17,1.0,2.0,-2.0,39.0,8.0
2017-10-16,1.0,2.0,-2.0,22.0,10.0
2017-10-15,-1.0,2.0,-3.0,21.0,9.0
2017-10-14,1.0,4.0,-2.0,11.0,7.0
2017-10-13,2.0,4.0,-2.0,51.0,10.0
2017-10-12,-1.0,2.0,-2.0,13.0,3.0
2017-10-11,1.0,3.0,-2.0,38.0,10.0
2017-10-10,1.0,3.0,-3.0,17.0,9.0
2017-10-09,0.0,0.0,0.0,0.0,0.0
2017-10-08,0.0,0.0,0.0,0.0,0.0
2017-10-07,0.0,0.0,0.0,0.0,0.0
2017-10-06,0.0,0.0,0.0,0.0,0.0
2017-10-05,0.0,0.0,0.0,0.0,0.0
2017-10-04,0.0,0.0,0.0,0.0,0.0
2017-10-03,0.0,0.0,0.0,0.0,0.0
2017-10-02,0.0,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0,0.0
2017-09-29,0.0,0.0,0.0,0.0,0.0
2017-09-28,0.0,0.0,0.0,0.0,0.0
2017-09-27,0.0,0.0,0.0,0.0,0.0
2017-09-26,-1.0,2.0,-3.0,73.0,7.0
2017-09-25,-1.0,2.0,-3.0,35.0,7.0
2017-09-24,-1.0,2.0,-3.0,10.0,5.0
2017-09-23,-1.0,1.0,-3.0,27.0,4.0
2017-09-22,-1.0,2.0,-2.0,36.0,3.0
2017-09-21,-2.0,-1.0,-3.0,3.0,3.0
2017-09-20,3.0,5.0,1.0,5.0,1.0
2017-09-19,2.0,4.0,-2.0,5.0,0.0
2017-09-18,2.0,4.0,-1.0,9.0,2.0
2017-09-17,1.0,3.0,-1.0,5.0,2.0
2017-09-16,3.0,5.0,-1.0,6.0,1.0
2017-09-15,2.0,4.0,-1.0,7.0,1.0
2017-09-14,1.0,3.0,-1.0,6.0,0.0
2017-09-13,2.0,3.0,-1.0,31.0,5.0
2017-09-12,2.0,4.0,-1.0,50.0,10.0
2017-09-11,2.0,4.0,-1.0,36.0,10.0
2017-09-10,1.0,3.0,-3.0,31.0,10.0
2017-09-09,-1.0,2.0,-3.0,35.0,10.0
2017-09-08,1.0,3.0,-2.0,29.0,10.0
2017-09-07,2.0,4.0,-1.0,26.0,10.0
2017-09-06,2.0,4.0,-1.0,30.0,10.0
2017-09-05,0.0,0.0,0.0,0.0,0.0
2017-09-04,-2.0,3.0,-5.0,4.0,3.0
2017-09-03,1.0,4.0,-2.0,5.0,4.0
2017-09-02,-2.0,3.0,-5.0,18.0,5.0
2017-09-01,-1.0,4.0,-4.0,34.0,5.0
2017-08-31,3.0,5.0,-1.0,37.0,2.0
2017-08-30,2.0,5.0,-2.0,61.0,4.0
2017-08-29,1.0,5.0,-4.0,39.0,2.0
2017-08-28,1.0,4.0,-3.0,31.0,2.0
2017-08-27,-1.0,4.0,-5.0,2.0,1.0
2017-08-26,1.0,4.0,-4.0,8.0,1.0
2017-08-25,1.0,5.0,-4.0,28.0,1.0
2017-08-24,1.0,4.0,-3.0,38.0,2.0
2017-08-23,2.0,5.0,-2.0,40.0,2.0
2017-08-22,2.0,5.0,-2.0,16.0,1.0
2017-08-21,2.0,5.0,-2.0,17.0,1.0
2017-08-20,1.0,1.0,1.0,1.0,1.0
2017-08-19,1.0,5.0,-3.0,9.0,1.0
2017-08-18,-2.0,3.0,-5.0,29.0,2.0
2017-08-17,-1.0,3.0,-5.0,34.0,2.0
2017-08-16,-2.0,3.0,-5.0,50.0,3.0
2017-08-15,2.0,5.0,-3.0,32.0,2.0
2017-08-14,1.0,4.0,-4.0,24.0,1.0
2017-08-13,2.0,2.0,2.0,1.0,0.0
2017-08-12,-3.0,1.0,-5.0,3.0,1.0
2017-08-11,-2.0,3.0,-5.0,31.0,2.0
2017-08-10,-2.0,3.0,-5.0,29.0,2.0
2017-08-09,-1.0,4.0,-5.0,42.0,2.0
2017-08-08,1.0,5.0,-3.0,29.0,2.0
2017-08-07,3.0,5.0,-1.0,25.0,3.0
2017-08-06,-2.0,3.0,-5.0,7.0,2.0
2017-08-05,1.0,5.0,-5.0,24.0,2.0
2017-08-04,2.0,4.0,-2.0,36.0,2.0
2017-08-03,1.0,4.0,-4.0,59.0,4.0
2017-08-02,2.0,5.0,-2.0,162.0,10.0
2017-08-01,-2.0,3.0,-5.0,71.0,9.0
2017-07-31,1.0,5.0,-5.0,36.0,7.0
2017-07-30,-1.0,4.0,-5.0,11.0,3.0
2017-07-29,1.0,4.0,-4.0,11.0,3.0
2017-07-28,-1.0,3.0,-4.0,27.0,3.0
2017-07-27,1.0,5.0,-4.0,47.0,6.0
2017-07-26,1.0,4.0,-4.0,51.0,6.0
2017-07-25,-1.0,3.0,-5.0,38.0,4.0
2017-07-24,-1.0,4.0,-4.0,18.0,3.0
2017-07-23,3.0,5.0,-1.0,9.0,2.0
2017-07-22,3.0,5.0,-1.0,6.0,1.0
2017-07-21,-2.0,2.0,-5.0,21.0,2.0
2017-07-20,-1.0,4.0,-5.0,52.0,6.0
2017-07-19,1.0,4.0,-4.0,50.0,6.0
2017-07-18,-1.0,4.0,-4.0,17.0,2.0
2017-07-17,1.0,5.0,-3.0,26.0,4.0
2017-07-16,3.0,5.0,2.0,5.0,2.0
2017-07-15,3.0,5.0,-2.0,6.0,2.0
2017-07-14,1.0,5.0,-3.0,36.0,4.0
2017-07-13,-1.0,3.0,-4.0,42.0,5.0
2017-07-12,1.0,4.0,-4.0,51.0,4.0
2017-07-11,1.0,4.0,-4.0,48.0,4.0
2017-07-10,-1.0,4.0,-5.0,36.0,4.0
2017-07-09,2.0,5.0,-3.0,8.0,3.0
2017-07-08,1.0,5.0,-5.0,12.0,4.0
2017-07-07,-1.0,3.0,-5.0,83.0,7.0
2017-07-06,-2.0,3.0,-5.0,26.0,2.0
2017-07-05,2.0,5.0,-2.0,32.0,2.0
2017-07-04,-2.0,3.0,-5.0,46.0,4.0
2017-07-03,-1.0,4.0,-4.0,18.0,3.0
2017-07-02,1.0,4.0,-4.0,7.0,2.0
